date,garch_condvol_ann_pct
1995-11-08,19.286123667585745
1995-11-09,18.774960232541194
1995-11-10,18.710422194851787
1995-11-13,18.330289193397405
1995-11-14,18.805919985814615
1995-11-15,18.361437170566052
1995-11-16,18.346273407423467
1995-11-17,17.90498614513091
1995-11-20,18.76794094620562
1995-11-21,19.44919441928147
1995-11-22,19.796862394877333
1995-11-23,20.963881356828928
1995-11-24,20.308986009907272
1995-11-27,19.72294579094921
1995-11-28,20.518936587596077
1995-11-29,19.916397457918396
1995-11-30,19.356548023804653
1995-12-01,19.435037906035898
1995-12-04,18.910646698764193
1995-12-05,18.935131299975893
1995-12-06,19.012866228903615
1995-12-07,18.48364002519377
1995-12-08,18.112799423516197
1995-12-11,18.846076545619137
1995-12-12,18.39076880347304
1995-12-13,18.77381193993945
1995-12-14,19.1592625149314
1995-12-15,19.327660566066164
1995-12-18,19.8526695773434
1995-12-19,19.788216204302056
1995-12-20,20.842437044377316
1995-12-21,20.184395355262026
1995-12-22,19.60171163073419
1995-12-27,19.123919943212304
1995-12-28,23.328365275132352
1995-12-29,22.528261292053347
1996-01-02,22.038057851782085
1996-01-03,22.56554695069192
1996-01-04,22.32068574293077
1996-01-05,21.571591830485655
1996-01-08,22.717898534027796
1996-01-09,22.332585765939015
1996-01-10,26.73845262288776
1996-01-11,29.636720345854844
1996-01-12,33.03025794394409
1996-01-15,32.494311622687086
1996-01-16,31.2019451665271
1996-01-17,30.503679007846834
1996-01-18,30.413382511303304
1996-01-19,31.537206446140047
1996-01-22,31.721099971133494
1996-01-23,30.383229509678035
1996-01-24,29.441072679133207
1996-01-25,28.280620458556676
1996-01-26,28.732094256021117
1996-01-29,28.92024918908518
1996-01-30,31.027699969487315
1996-01-31,30.946249993877224
1996-02-01,29.775648197138345
1996-02-02,28.84622307951887
1996-02-05,28.66586124893103
1996-02-06,27.739938281373348
1996-02-07,26.810049381825777
1996-02-08,25.900259528458736
1996-02-09,25.114875065465064
1996-02-12,24.655090027541533
1996-02-13,23.79683514156543
1996-02-14,33.41606572033623
1996-02-15,32.38106373102354
1996-02-16,31.13265741695069
1996-02-19,29.83038504969336
1996-02-20,28.60356710513162
1996-02-21,29.11875914044295
1996-02-22,30.319345413238906
1996-02-23,29.590580378100288
1996-02-26,30.439109209517845
1996-02-27,29.176322552844137
1996-02-28,28.219368483609248
1996-02-29,28.57948873450125
1996-03-01,27.668274577854678
1996-03-04,27.381344475306555
1996-03-05,26.616679360044042
1996-03-06,27.068786328849676
1996-03-07,28.115772608405788
1996-03-08,27.279668524944867
1996-03-11,26.63278294625554
1996-03-12,25.664047184028068
1996-03-13,26.30999346514758
1996-03-14,26.171433406365765
1996-03-15,25.586427231544207
1996-03-18,24.761236668065497
1996-03-19,37.341976614888736
1996-03-20,35.87590795547501
1996-03-21,34.303177498426415
1996-03-22,32.82824371677607
1996-03-25,36.36628375270301
1996-03-26,34.9086916049211
1996-03-27,34.40031798768769
1996-03-28,33.86597497625694
1996-03-29,40.997632064197994
1996-04-01,39.172495492464215
1996-04-02,38.93054253785838
1996-04-03,38.139906224247575
1996-04-04,36.90905752217793
1996-04-09,35.332683346979614
1996-04-10,36.189735000114084
1996-04-11,43.240389031519086
1996-04-12,48.76300138264656
1996-04-15,52.43379155290899
1996-04-16,49.96994272037221
1996-04-17,57.68947191259396
1996-04-18,63.08951145795503
1996-04-19,61.58059339415885
1996-04-22,58.8102812310485
1996-04-23,56.12878125366009
1996-04-24,64.20363152240557
1996-04-25,61.2135412701767
1996-04-26,58.97208752228652
1996-04-29,56.62178144247362
1996-04-30,53.920828675666144
1996-05-01,53.115754410546145
1996-05-02,52.47886131277969
1996-05-03,51.487300736942466
1996-05-07,49.095877333801496
1996-05-08,49.72765630144727
1996-05-09,47.736362745402865
1996-05-10,47.17509427856141
1996-05-13,45.08908928485619
1996-05-14,43.42055831288681
1996-05-15,41.57230083880542
1996-05-16,39.82250827718616
1996-05-17,43.97372793907665
1996-05-20,44.673838274105506
1996-05-21,45.16632743921359
1996-05-22,43.10668020161787
1996-05-23,44.67136638942443
1996-05-24,42.714845987353286
1996-05-28,41.028061735879376
1996-05-29,39.49258043879445
1996-05-30,40.46060643889765
1996-05-31,44.555866687098245
1996-06-03,42.499874498723656
1996-06-04,40.729904678055185
1996-06-05,39.39498887569782
1996-06-06,38.47009166522072
1996-06-07,36.755122095362076
1996-06-10,35.56880519197079
1996-06-11,34.06193715723429
1996-06-12,33.03489705984909
1996-06-13,31.65623757381401
1996-06-14,31.07832867052993
1996-06-17,30.07374963905341
1996-06-18,36.66934957112654
1996-06-19,35.12774511766338
1996-06-20,35.19889644749568
1996-06-21,33.665789599537334
1996-06-24,32.21663279643517
1996-06-25,30.91520708804562
1996-06-26,29.624434272069166
1996-06-27,28.93927254568547
1996-06-28,33.934453206222564
1996-07-01,32.578244039524705
1996-07-02,33.36329734789288
1996-07-03,33.04549457592522
1996-07-04,32.54392747845828
1996-07-05,34.840698709452006
1996-07-08,33.713027722252676
1996-07-09,33.53329601132763
1996-07-10,32.090122091486265
1996-07-11,30.98205737160855
1996-07-12,30.083041714419288
1996-07-15,28.918061062456896
1996-07-16,28.442546958301236
1996-07-17,27.384424761290955
1996-07-18,29.50588366780524
1996-07-19,28.675449333886192
1996-07-22,30.16853599068329
1996-07-23,29.467727492130873
1996-07-24,28.998336807742227
1996-07-25,28.058722348707803
1996-07-26,27.134067137266893
1996-07-29,29.91611911297885
1996-07-30,28.72693650608017
1996-07-31,27.67584064731892
1996-08-01,26.680112164414066
1996-08-02,25.992334827051472
1996-08-05,31.70903111691973
1996-08-06,30.372680082963598
1996-08-07,29.556560749134082
1996-08-08,28.350588307936114
1996-08-09,30.22722426881656
1996-08-12,28.977691591623824
1996-08-13,31.10439561933965
1996-08-14,31.00490173895873
1996-08-15,29.876640619245904
1996-08-16,28.65386263530186
1996-08-19,29.04561681503626
1996-08-20,28.518451934721178
1996-08-21,27.883975468061006
1996-08-22,29.637501561865353
1996-08-23,30.1536624954378
1996-08-27,30.901322481529565
1996-08-28,30.639178881994056
1996-08-29,29.81581424256935
1996-08-30,29.475016571090702
1996-09-02,28.276119184307174
1996-09-03,38.68471523090463
1996-09-04,37.677990296209984
1996-09-05,36.55285492583978
1996-09-06,34.96137593888859
1996-09-09,33.94138797447976
1996-09-10,32.72736466146214
1996-09-11,32.594204310913675
1996-09-12,33.706542117372564
1996-09-13,32.26419192596367
1996-09-16,32.341441603584045
1996-09-17,40.1865250293651
1996-09-18,43.124377122031206
1996-09-19,43.66151675651484
1996-09-20,42.18383361125494
1996-09-23,40.81957901202909
1996-09-24,39.75747595796475
1996-09-25,40.212581850233434
1996-09-26,38.77995170628961
1996-09-27,37.524916914569346
1996-09-30,37.099852330562676
1996-10-01,43.55497894247178
1996-10-02,46.05354426517529
1996-10-03,43.933171121816386
1996-10-04,43.10213669830612
1996-10-07,41.410377193571804
1996-10-08,40.28304733132506
1996-10-09,38.79859920843392
1996-10-10,37.06035940217439
1996-10-11,40.238717386122005
1996-10-14,38.65313941283211
1996-10-15,40.88980811661837
1996-10-16,39.19034527002039
1996-10-17,37.46949197945139
1996-10-18,36.340276645953175
1996-10-21,35.34416957531556
1996-10-22,33.86299983345701
1996-10-23,32.9314927253349
1996-10-24,35.14674187991045
1996-10-25,34.22921567399586
